id,source,year,topic,subtopic,index1,index2,text,answer,explanation
1,세무사,2017,상법,회사법,1장 회사법 서론,1절 회사의 개념,지문 텍스트 샘플19,O,해설 샘플19
2,세무사,2018,상법,회사법,1장 회사법 서론,2절 회사의 능력,지문 텍스트 샘플20,X,해설 샘플20
3,세무사,2019,상법,회사법,2장 주식회사,1절 설립,지문 텍스트 샘플21,O,해설 샘플21
4,세무사,2020,상법,회사법,3장 그 밖의 회사,1절 합명회사,지문 텍스트 샘플22,O,해설 샘플22
5,세무사,2021,상법,회사법,4장 회사의 특수문제,1절 조직변경,지문 텍스트 샘플23,O,해설 샘플23
6,세무사,2022,상법,총칙,1장 상법 서론,-,지문 텍스트 샘플24,X,해설 샘플24
7,세무사,2023,상법,총칙,2장 상인과 설비,1절 상인,지문 텍스트 샘플25,X,해설 샘플25
8,세무사,2024,상법,총칙,2장 상인과 설비,2절 상업사용인,지문 텍스트 샘플26,O,해설 샘플26
9,세무사,2025,상법,총칙,3장 영업의 공시와 양도,1절 상업등기,지문 텍스트 샘플27,O,해설 샘플27
10,세무사,2017,상법,총칙,3장 영업의 공시와 양도,1절 상업등기,지문 텍스트 샘플28,X,해설 샘플28
11,세무사,2018,상법,총칙,3장 영업의 공시와 양도,2절 영업양도,지문 텍스트 샘플29,X,해설 샘플29
12,세무사,2019,상법,총칙,3장 영업의 공시와 양도,2절 영업양도,지문 텍스트 샘플30,O,해설 샘플30
13,세무사,2020,상법,상행위,1장 상행위 총설,1절 의의,지문 텍스트 샘플31,X,해설 샘플31
14,세무사,2021,상법,상행위,1장 상행위 총설,2절 상행위의 특칙,지문 텍스트 샘플32,O,해설 샘플32
15,세무사,2022,상법,상행위,2장 상사매매,1절 의의,지문 텍스트 샘플33,O,해설 샘플33
16,세무사,2023,상법,상행위,3장 상법상의 특수한 계약,1절 상호계산,지문 텍스트 샘플34,O,해설 샘플34
17,세무사,2024,상법,상행위,4장 각칙,1절 대리상,지문 텍스트 샘플35,X,해설 샘플35
18,세무사,2025,상법,상행위,4장 각칙,2절 중개업,지문 텍스트 샘플36,X,해설 샘플36
