id,source,year,topic,subtopic,index1,index2,text,answer,explanation
1,공인회계사,2017,상법,회사법,1장 회사법 서론,1절 회사의 개념,지문 텍스트 샘플1,X,해설 샘플1
2,공인회계사,2018,상법,회사법,1장 회사법 서론,2절 회사의 능력,지문 텍스트 샘플2,X,해설 샘플2
3,공인회계사,2019,상법,회사법,2장 주식회사,1절 설립,지문 텍스트 샘플3,O,해설 샘플3
4,공인회계사,2020,상법,회사법,3장 그 밖의 회사,1절 합명회사,지문 텍스트 샘플4,X,해설 샘플4
5,공인회계사,2021,상법,회사법,4장 회사의 특수문제,1절 조직변경,지문 텍스트 샘플5,O,해설 샘플5
6,공인회계사,2022,상법,총칙,1장 상법 서론,-,지문 텍스트 샘플6,X,해설 샘플6
7,공인회계사,2023,상법,총칙,2장 상인과 설비,1절 상인,지문 텍스트 샘플7,O,해설 샘플7
8,공인회계사,2024,상법,총칙,2장 상인과 설비,2절 상업사용인,지문 텍스트 샘플8,X,해설 샘플8
9,공인회계사,2025,상법,총칙,3장 영업의 공시와 양도,1절 상업등기,지문 텍스트 샘플9,X,해설 샘플9
10,공인회계사,2017,상법,총칙,3장 영업의 공시와 양도,1절 상업등기,지문 텍스트 샘플10,O,해설 샘플10
11,공인회계사,2018,상법,총칙,3장 영업의 공시와 양도,2절 영업양도,지문 텍스트 샘플11,X,해설 샘플11
12,공인회계사,2019,상법,총칙,3장 영업의 공시와 양도,2절 영업양도,지문 텍스트 샘플12,X,해설 샘플12
13,공인회계사,2020,상법,상행위,1장 상행위 총설,1절 의의,지문 텍스트 샘플13,X,해설 샘플13
14,공인회계사,2021,상법,상행위,1장 상행위 총설,2절 상행위의 특칙,지문 텍스트 샘플14,O,해설 샘플14
15,공인회계사,2022,상법,상행위,2장 상사매매,1절 의의,지문 텍스트 샘플15,X,해설 샘플15
16,공인회계사,2023,상법,상행위,3장 상법상의 특수한 계약,1절 상호계산,지문 텍스트 샘플16,O,해설 샘플16
17,공인회계사,2024,상법,상행위,4장 각칙,1절 대리상,지문 텍스트 샘플17,X,해설 샘플17
18,공인회계사,2025,상법,상행위,4장 각칙,2절 중개업,지문 텍스트 샘플18,O,해설 샘플18
